model,mode,rep,ok,status,passkey,generated_text,pred_digits,true_key_nll,fake_key_nll,nll_margin_fake_minus_true
Standard,near,0,0,ok,42636,"
excluding the goal of the universe. The goal of the universe is to investigate the problem. The goal of the",,10.19651985168457,12.339203834533691,2.142683982849121
Standard,near,1,0,ok,57828,"
excluding the goal of the universe. The main goal of the universe is to investigate the problem. The goal of",,8.774024963378906,7.916328430175781,-0.857696533203125
Standard,near,2,0,ok,28000,"
excluding the goal of the universe. The goal of the universe is to investigate the problem. The goal of the",,8.32055377960205,8.47872543334961,0.1581716537475586
Standard,near,3,0,ok,23104,"
excluding the goal of the universe. The goal of the universe is to investigate the problem. The goal of the",,8.776302337646484,11.036170959472656,2.259868621826172
Standard,near,4,0,ok,69769,"
excluding the goal of the universe. The main goal of the universe is to investigate the problem. The goal of",,9.629838943481445,11.56331729888916,1.9334783554077148
Standard,near,5,0,ok,76068,"
excluding the goal of the universe. The main goal of the universe is to investigate the problem. The goal of",,7.924836158752441,9.808694839477539,1.8838586807250977
Standard,mid,0,0,ok,62389,"
excluding the goal of the universe. 
The goal of the universe is to investigate the problem of the universe",,5.381231784820557,11.635570526123047,6.25433874130249
Standard,mid,1,0,ok,65668,"
excluding the goal of the universe. 
The goal of the universe is to investigate the problem of the universe",,13.100326538085938,11.286361694335938,-1.81396484375
Standard,mid,2,0,ok,14234,"
excluding the goal of the universe. 
The physical consequences of space are different from the environment. The physical",,9.886347770690918,12.166448593139648,2.2801008224487305
Standard,mid,3,0,ok,88631,"
excluding the goal of the universe. 
The goal of the universe is to investigate the problem of the universe",,9.898982048034668,8.503807067871094,-1.3951749801635742
Standard,mid,4,0,ok,58406,"
excluding the goal of the universe. 
The physical consequences of space are different from the environment. The physical",,11.837353706359863,11.939169883728027,0.10181617736816406
Standard,mid,5,0,ok,56371,"
excluding the goal of the universe. 
The physical consequences of space are different from the environment. The physical",,12.55885124206543,9.120901107788086,-3.4379501342773438
Standard,far,0,0,ok,50410,"
excluding the goal of the universe. 
The physical consequences of space are different from the environment. The physical",,8.47287368774414,15.111515998840332,6.638642311096191
Standard,far,1,0,ok,40548,"
excluding the goal of the universe. 
The physical consequences of space are different from the environment. The physical",,11.55306625366211,10.049673080444336,-1.5033931732177734
Standard,far,2,0,ok,73130,"
excluding the goal of the universe. 
The physical consequences of space are different from the environment. The physical",,10.664916038513184,11.623371124267578,0.9584550857543945
Standard,far,3,0,ok,64308,"
excluding the goal of the universe. 
The physical consequences of space are different from the environment. The physical",,11.779634475708008,11.833580017089844,0.05394554138183594
Standard,far,4,0,ok,91047,"
excluding the goal of the universe. 
In the early stages of the universe, the problem of the universe",,10.922636985778809,13.003303527832031,2.0806665420532227
Standard,far,5,0,ok,76601,"
excluding the goal of the universe. 
The goal of the universe is to investigate the problem of the universe",,7.0084710121154785,11.239496231079102,4.231025218963623
Sigmoid,near,0,0,ok,23052,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,9.272982597351074,15.354691505432129,6.081708908081055
Sigmoid,near,1,0,ok,97975,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,6.2656402587890625,12.209031105041504,5.943390846252441
Sigmoid,near,2,0,ok,59287,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,11.758172988891602,12.841148376464844,1.0829753875732422
Sigmoid,near,3,0,ok,70604,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,7.74839448928833,11.67631721496582,3.9279227256774902
Sigmoid,near,4,0,ok,40125,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,11.098169326782227,10.147085189819336,-0.9510841369628906
Sigmoid,near,5,0,ok,20814,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,12.707663536071777,10.608109474182129,-2.0995540618896484
Sigmoid,mid,0,0,ok,30904,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,14.844879150390625,9.202893257141113,-5.641985893249512
Sigmoid,mid,1,0,ok,63151,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,11.816587448120117,9.605789184570312,-2.2107982635498047
Sigmoid,mid,2,0,ok,72784,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,16.341670989990234,12.156659126281738,-4.185011863708496
Sigmoid,mid,3,0,ok,96811,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,6.397912979125977,11.014603614807129,4.616690635681152
Sigmoid,mid,4,0,ok,89358,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,10.325875282287598,10.731711387634277,0.4058361053466797
Sigmoid,mid,5,0,ok,62349,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,5.770401477813721,13.063048362731934,7.292646884918213
Sigmoid,far,0,0,ok,17729,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,12.75102424621582,14.434829711914062,1.6838054656982422
Sigmoid,far,1,0,ok,21536,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,13.367364883422852,14.445837020874023,1.0784721374511719
Sigmoid,far,2,0,ok,65736,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,11.685836791992188,14.127250671386719,2.4414138793945312
Sigmoid,far,3,0,ok,13583,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,13.652898788452148,13.279579162597656,-0.3733196258544922
Sigmoid,far,4,0,ok,45667,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,12.066040992736816,11.637277603149414,-0.42876338958740234
Sigmoid,far,5,0,ok,19696,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the",,14.498947143554688,10.849143981933594,-3.6498031616210938
