arm,role,config,scope,policy,tier
Native,control,,,,
OfficialYaRN,control,,,,
MR,control,,,,
BM,control,,,,
ResonanceYaRN,control,,,,
D01a,candidate,D01a,frequency,Q(T)=floor(T+1/2),baseline_or_orthogonal
D03a,candidate,D03a,frequency_assignment,中段19–34两两相邻交换,core_mechanism
D03b,candidate,D03b,frequency_assignment,平台35–37与38–40两个三槽块交换,core_mechanism
D04a,candidate,D04a,signed_frequency,B={1≤r_j<s},mechanism_probe
D05a,candidate,D05a,dc_frequency,θcut=π/2,core_mechanism
D05b,candidate,D05b,dc_frequency,θcut=π,core_mechanism
D05c,candidate,D05c,dc_frequency,θcut=2π,core_mechanism
D06a,candidate,D06a,frequency_assignment,Q(c)=floor(c),core_mechanism
D06b,candidate,D06b,frequency_assignment,Q(c)=floor(c+1/2),core_mechanism
D06c,candidate,D06c,frequency_assignment,反向扫描后floor，再反转回槽序,core_mechanism
D07a,candidate,D07a,spectral_amplitude,h=m,core_mechanism
D07b,candidate,D07b,spectral_amplitude,h=1−m,core_mechanism
D07c,candidate,D07c,spectral_amplitude,h=4m(1−m),core_mechanism
D13a,candidate,D13a,position_amplitude,t=ln(u)/lnW,core_mechanism
D13b,candidate,D13b,position_amplitude,t=sqrt(ln(u)/lnW),core_mechanism
D13c,candidate,D13c,position_amplitude,t=[1+0.1ln(u/W)]²,core_mechanism
