config,direction,scope,evidence_grade,execution_priority,policy,execution_authorized
D01a,D01,frequency,A：已有文献机制＋精确周期性质,1,Q(T)=floor(T+1/2),false
D01b,D01,frequency,A：已有文献机制＋精确周期性质,1,Q(T)=floor(T),false
D01c,D01,frequency,A：已有文献机制＋精确周期性质,1,Q(T)=ceil(T),false
D02a,D02,frequency,B：精确旋转约束,2,A=W,false
D02b,D02,frequency,B：精确旋转约束,2,A=2W,false
D02c,D02,frequency,B：精确旋转约束,2,A=4W,false
D03a,D03,frequency_assignment,B：严格同谱反事实,3,中段19–34两两相邻交换,false
D03b,D03,frequency_assignment,B：严格同谱反事实,3,平台35–37与38–40两个三槽块交换,false
D03c,D03,frequency_assignment,B：严格同谱反事实,3,中段整体循环hop=round(log(s)/(logθ/K))，本模型hop=7,false
D04a,D04,signed_frequency,B：奇偶分解精确,4,B={1≤r_j<s},false
D04b,D04,signed_frequency,B：奇偶分解精确,4,B={r_j<1},false
D04c,D04,signed_frequency,B：奇偶分解精确,4,B={s≤r_j<32},false
D05a,D05,dc_frequency,A/B：已有FoPE先例,1,θcut=π/2,false
D05b,D05,dc_frequency,A/B：已有FoPE先例,1,θcut=π,false
D05c,D05,dc_frequency,A/B：已有FoPE先例,1,θcut=2π,false
D06a,D06,frequency_assignment,B：双尺度协变与计数误差界精确,2,Q(c)=floor(c),false
D06b,D06,frequency_assignment,B：双尺度协变与计数误差界精确,2,Q(c)=floor(c+1/2),false
D06c,D06,frequency_assignment,B：双尺度协变与计数误差界精确,2,反向扫描后floor，再反转回槽序,false
D07a,D07,spectral_amplitude,A/B：历史gain强，子带分配未证实,1,h=m,false
D07b,D07,spectral_amplitude,A/B：历史gain强，子带分配未证实,1,h=1−m,false
D07c,D07,spectral_amplitude,A/B：历史gain强，子带分配未证实,1,h=4m(1−m),false
D08a,D08,spectral_amplitude,C：条件理论,4,w∝J,false
D08b,D08,spectral_amplitude,C：条件理论,4,w∝1/J,false
D08c,D08,spectral_amplitude,C：条件理论,4,w∝sqrt(J),false
D09a,D09,spectral_amplitude,C：概率恒等式,4,三角特征函数sinc²(x/2),false
D09b,D09,spectral_amplitude,C：概率恒等式,4,高斯exp(−x²/12),false
D09c,D09,spectral_amplitude,C：概率恒等式,4,拉普拉斯1/(1+x²/12),false
D10a,D10,qk_phase_bias,B：直接约束真实双线性旋转,3,d0=−W/4,false
D10b,D10,qk_phase_bias,B：直接约束真实双线性旋转,3,d0=−W/2,false
D10c,D10,qk_phase_bias,B：直接约束真实双线性旋转,3,d0=−W,false
D11a,D11,qk_pair_metric,B：谱与零距离内积精确保留,3,h=m,false
D11b,D11,qk_pair_metric,B：谱与零距离内积精确保留,3,h=−m,false
D11c,D11,qk_pair_metric,B：谱与零距离内积精确保留,3,h=(2m−1)·4m(1−m),false
D12a,D12,position_amplitude,A/B：XPos机制,2,h=m,false
D12b,D12,position_amplitude,A/B：XPos机制,2,h=1−m,false
D12c,D12,position_amplitude,A/B：XPos机制,2,h=4m(1−m),false
D13a,D13,position_amplitude,A/B：softmax竞争数学明确，规则是假设,1,t=ln(u)/lnW,false
D13b,D13,position_amplitude,A/B：softmax竞争数学明确，规则是假设,1,t=sqrt(ln(u)/lnW),false
D13c,D13,position_amplitude,A/B：softmax竞争数学明确，规则是假设,1,t=[1+0.1ln(u/W)]²,false
D14a,D14,position_phase,B：分段协变精确,2,a=W/4,false
D14b,D14,position_phase,B：分段协变精确,2,a=W/2,false
D14c,D14,position_phase,B：分段协变精确,2,a=W,false
D15a,D15,position_phase,B：两端局部性质精确,3,h=W/8,false
D15b,D15,position_phase,B：两端局部性质精确,3,h=W/4,false
D15c,D15,position_phase,B：两端局部性质精确,3,h=W/2,false
D16a,D16,position_phase,B：块内精确,2,C=W/4,false
D16b,D16,position_phase,B：块内精确,2,C=W/2,false
D16c,D16,position_phase,B：块内精确,2,C=W,false
D17a,D17,position_phase,B：减少同步接缝是结构属性，不是收益定理,3,o_j=Cj/K,false
D17b,D17,position_phase,B：减少同步接缝是结构属性，不是收益定理,3,o_j=C·bitreverse(j)/2^ceil(log2 K),false
D17c,D17,position_phase,B：减少同步接缝是结构属性，不是收益定理,3,o_j=C(j mod4)/4,false
D18a,D18,position_phase,B：边带与局部导数性质精确,3,M=1,false
D18b,D18,position_phase,B：边带与局部导数性质精确,3,M=2,false
D18c,D18,position_phase,B：边带与局部导数性质精确,3,M=4,false
D19a,D19,position_phase,B/C：范围性质精确,4,φ=z mod Θ,false
D19b,D19,position_phase,B/C：范围性质精确,4,φ=Θ−|((z mod2Θ)−Θ)|,false
D19c,D19,position_phase,B/C：范围性质精确,4,"φ=min(z,Θ)",false
D20a,D20,position_phase,B：轨道归属与舍入界精确,4,Q=floor(x),false
D20b,D20,position_phase,B：轨道归属与舍入界精确,4,Q=floor(x+1/2),false
D20c,D20,position_phase,B：轨道归属与舍入界精确,4,Q_j=floor(x+j/K),false
